"","place","Freq","latitude","longitude"
"342","Champfers",1,NA,NA
"345","Chapecó",1,-27.0922364,-52.6166878
"346","Chapeco SC",2,-27.0922364,-52.6166878
"347","Charenton",1,48.8198479,2.4159508
"348","Charenton le pont",2,48.8198479,2.4159508
"361","Chil gog gun",2,NA,NA
"362","Chile",1,-31.7613365,-71.3187697
"365","Chişinău",3,47.0245117,28.8322923
"366","Chişinǎu",1,47.0245117,28.8322923
"370","Chun cheon si",1,NA,NA
"375","Ciudad Autónoma de Buenos Aires",4,-34.6075682,-58.4370894
"376","Ciudad de Buenos Aires",1,-34.6075682,-58.4370894
"377","Ciudad de LaHabana",3,NA,NA
"384","Cluj",1,46.769379,23.5899542
"385","Cluj Napoca",11,46.769379,23.5899542
"389","Coeuvres   Valsery",2,49.3387,3.15624
"390","Coeuvres et Valsery",1,49.3387,3.15624
"393","Coira",1,46.854747,9.5264904
"403","Copenhagen",14,55.6867243,12.5700724
"404","Copenhagen Valby",3,55.6618019,12.5169523
"410","Courbevoie Cedex",1,NA,NA
"415","Csíkszereda",1,46.3614042,25.8026675
"418","Cuira",3,46.854747,9.5264904
"420","Cze stochowa",3,NA,NA
"421","Czernowitz",4,48.2864702,25.9376532
"422","DA Eberstadt  Darmstadt Eberstadt",1,49.8142514,8.6259972
"428","Darmstadt Eberstadt",1,49.8142514,8.6259972
"433","Den Haag",6,52.0799838,4.3113461
"434","DenHaag",3,NA,NA
"459","Dražgoě",1,NA,NA
"463","Dublin",5,53.3497645,-6.2602732
"487","Ekaterinburg",3,56.7881462,60.6689577911664
"495","Enschede Doetinchem",1,NA,NA
"500","Erscheinungsort nicht ermittelbar",1,NA,NA
"503","Esplugas de Llobregat",1,41.3776796,2.0899722
"504","Esplugues de Llobregat",3,41.3776796,2.0899722
"511","Evian les Bains",3,46.3910965,6.58133104180146
"512","Évian les Bains",1,46.3910965,6.58133104180146
"522","Fatih İstanbul",1,41.0091982,28.9662187
"529","Firenze",122,43.7698712,11.2555757
"530","Firenze   Italia",4,43.7698712,11.2555757
"537","Frankfurt",43,50.1106444,8.6820917
"538","Frankfurt  M",1,50.1066539,8.6625808
"539","Frankfurt a M",1,50.1106444,8.6820917
"540","Frankfurt am Main",36,50.1106444,8.6820917
"541","Frankfurt M",2,50.1066539,8.6625808
"543","Frankfurt na Majne",3,50.1106444,8.6820917
"561","Galatasaray",115,41.0324757,28.9735828
"568","Gdansk",1,54.36119285,18.6286088336207
"569","Gdanśk",1,54.36119285,18.6286088336207
"570","Gdańsk",41,54.36119285,18.6286088336207
"572","Gelʹzenkirchen",1,NA,NA
"576","Geneve",1,46.2017559,6.1466014
"577","Genève",34,46.2017559,6.1466014
"578","Genf",3,46.2017559,6.1466014
"583","Gijón",3,43.5449422,-5.66275
"588","Glaschu",1,55.8609825,-4.2488787
"589","Glasgow",4,55.8609825,-4.2488787
"606","Gr asten",1,NA,NA
"628","Gui lin",2,25.238704,110.1750728
"630","Guilin",7,25.238704,110.1750728
"639","Ha Nôi",1,21.0294498,105.8544441
"640","Ha Nội",1,21.0294498,105.8544441
"641","Hà Nôi",36,21.0294498,105.8544441
"642","Hà Nội",12,21.0294498,105.8544441
"645","Hai kou",11,20.0462328,110.1956502
"646","Hai kou shi",2,20.0462328,110.1956502
"651","Hang zhou",1,30.2489634,120.2052342
"652","Hang zhou Shi",1,30.2489634,120.2052342
"653","Hangzhou",2,30.2489634,120.2052342
"654","Hannover",3,52.3744779,9.7385532
"655","Hanover",3,52.3744779,9.7385532
"667","Havlíčk uv Brod",2,NA,NA
"681","Helsingissä  Hki",1,NA,NA
"682","Helsingissä kustannusosakeyhtiö",1,NA,NA
"684","Helsinke",1,NA,NA
"687","Hermannstadt",1,45.7973912,24.1519202
"698","Hò Chí Minh",2,10.7758439,106.7017555
"699","Hô Chí Minh",1,10.7758439,106.7017555
"700","Hod ha Sharon",1,NA,NA
"705","Hohen Neuendorf bei Berlin",1,NA,NA
"706","Hojbjerg",1,56.1136618,10.1903165
"707","Højbjerg",18,56.1136618,10.1903165
"713","Hong Kong",2,22.2793278,114.1628131
"714","Hoorn",3,52.62254545,5.06772658814782
"716","Horn",1,52.62254545,5.06772658814782
"729","Iaşi",67,47.1615341,27.5836142
"730","Iași",1,47.1615341,27.5836142
"732","Ierusalim",1,31.79592425,35.211980759695
"744","Irun",3,43.3383176,-1.7888095
"745","Irún",7,43.3383176,-1.7888095
"746","Iruña",1,42.8184538,-1.6442556
"747","Iruñea",6,42.8184538,-1.6442556
"750","Istanbul",34,41.0091982,28.9662187
"751","İstanbul",230,41.0091982,28.9662187
"752","Ivano Frankifs k",1,NA,NA
"760","Janki k  Warszawy",3,NA,NA
"765","Jerusalem",1,31.79592425,35.211980759695
"767","Jindřich uv Hradec",1,NA,NA
"772","Kaapstad",8,-33.928992,18.417396
"774","Kadıköy",9,40.9915716,29.0270173
"775","Kadıköy   İstanbul",1,40.9915716,29.0270173
"776","Kadıköy İstanbul",2,40.9915716,29.0270173
"777","Kâğıthane",3,41.08598,28.9726208
"778","Kağıthane İstanbul",2,41.08598,28.9726208
"781","Kaliningrad",5,54.710128,20.5105838
"782","Kaliningrado",1,54.710128,20.5105838
"800","Kazowice",1,NA,NA
"809","Keypmannahavn",2,55.6867243,12.5700724
"815","Kiev",4,50.4500336,30.5241361
"818","Kišinev",1,47.0245117,28.8322923
"822","Klagenfurt",14,46.6228162,14.3079604
"823","Klagenfurt Celovec",3,46.6228162,14.3079604
"824","Klaipėda",2,55.7127529,21.1350469
"825","Klajpeda",1,55.7127529,21.1350469
"828","Københaven",1,NA,NA
"829","Kobenhavn",3,55.6867243,12.5700724
"830","København",357,55.6867243,12.5700724
"832","Købnhavn",2,NA,NA
"837","Koloszvár",1,NA,NA
"838","Kolozsvár",4,46.769379,23.5899542
"841","Kopenhagen",11,55.6867243,12.5700724
"845","Korntal",11,48.8296536,9.1233501
"846","Korntalʹ",1,48.8296536,9.1233501
"848","Kostelmí Vydří",1,NA,NA
"852","Køvenhavn",1,NA,NA
"855","Krakow",2,50.0619474,19.9368564
"856","Kraków",213,50.0619474,19.9368564
"857","Kraljelo",1,NA,NA
"862","Kremnv ug",1,NA,NA
"874","Kyiv",2,50.4500336,30.5241361
"875","Kyïv",3,50.4500336,30.5241361
"920","LeChambon sur Lignon",1,NA,NA
"923","Leeuwarden",1,53.2005936,5.7918548
"930","LeMéjan",1,NA,NA
"931","Leningrad",3,59.938732,30.316229
"934","LesCharbonnières",2,NA,NA
"936","Lëtzebuerg",1,49.8158683,6.1296751
"945","Liberec",6,50.7702648,15.0583947
"946","Libeznice",1,50.1921305,14.4938986
"947","Líbeznice",13,50.1921305,14.4938986
"958","Lisboa",251,38.7077507,-9.1365919
"959","Lisbõa",1,38.7077507,-9.1365919
"963","Ljouwert",3,53.2005936,5.7918548
"970","Lodz",1,51.7728066,19.4784949584914
"971","Łódź",16,51.7728066,19.4784949584914
"975","London WII 4QR",1,NA,NA
"985","Ludwigshafen",1,49.4704113,8.4381568
"986","Ludwigshafen am Rhein",3,49.4704113,8.4381568
"993","Luxembourg",2,49.8158683,6.1296751
"1021","Máriabesnyő",4,47.5958954,19.3890813
"1022","Máriabesnyő Gödöllő",1,47.5958954,19.3890813
"1049","Mensk",1,53.9024716,27.5618225
"1051","Meran",1,46.6695547,11.1594185
"1052","Merano",1,46.6695547,11.1594185
"1060","Mexico",1,23.6585116,-102.0077097
"1061","México",53,23.6585116,-102.0077097
"1067","Miercurea Ciuc",8,46.3614042,25.8026675
"1072","Minsk",48,53.9024716,27.5618225
"1076","Mladá Fronta",1,NA,NA
"1079","Moksva",1,NA,NA
"1098","Moshav Ben Shemen",1,NA,NA
"1099","Moskau",3,55.7504461,37.6174943
"1100","Moskv",1,55.7504461,37.6174943
"1101","Moskva",785,55.7504461,37.6174943
"1102","Moskwa",1,55.7504461,37.6174943
"1109","München",51,48.1371079,11.5753822
"1110","Munich",3,48.1371079,11.5753822
"1120","Nagano ken Suwa shi",1,36.03209,138.114118
"1124","Naī Dillī",5,28.6138954,77.2090057
"1126","Nan jing",20,32.0615652,118.7915079
"1127","Nan jing shi",2,32.0615652,118.7915079
"1128","Nan jing Shi",2,32.0615652,118.7915079
"1132","Nanjing",11,32.0615652,118.7915079
"1134","Napoli",14,40.8358846,14.2487679
"1137","Naʾī Dihlī",1,NA,NA
"1138","Neapel",3,40.8358846,14.2487679
"1140","Neckarsteinach",23,49.4082418,8.8364591
"1141","Neckarsteinach Germany",3,49.4082418,8.8364591
"1154","New Delhi",9,28.6138954,77.2090057
"1158","New York",558,40.7127281,-74.0060152
"1159","New York City",7,40.7127281,-74.0060152
"1161","Newē Mônôsôn",1,NA,NA
"1172","Nîmes",41,43.8374249,4.3600687
"1173","Nîmes  France",1,43.8374249,4.3600687
"1177","Njumbrecht Elʹzenrot",1,NA,NA
"1183","Norimberga",1,49.453872,11.077298
"1196","Novi Sad",49,45.2551338,19.8451756
"1198","Novjorko",2,40.7127281,-74.0060152
"1204","Nürnberg",18,49.453872,11.077298
"1248","Oświe cim",1,NA,NA
"1252","Ottensheim a d  Donau",1,NA,NA
"1259","Oveti",1,NA,NA
"1260","Oviedo",3,43.3604218,-5.8450534
"1270","Palma",12,39.5695818,2.6500745
"1271","Palma de Mallorca",18,39.5695818,2.6500745
"1272","Pamplona",3,42.8184538,-1.6442556
"1276","Paris Orbey",1,NA,NA
"1299","Piteşti",19,44.8572343,24.8719422
"1300","Pitești",1,44.8572343,24.8719422
"1321","Porto",41,41.1494512,-8.6107884
"1322","Pôrto",1,41.1494512,-8.6107884
"1329","Poznan",3,52.4006632,16.9197325917809
"1330","Poznań",126,52.4006632,16.9197325917809
"1331","Pozsony",4,48.1516988,17.1093063
"1332","Pozsony  i e  Bratislava",11,48.1516988,17.1093063
"1333","Pozuelo de Alarcon",1,40.4346528,-3.814834
"1334","Pozuelo de Alarcón",6,40.4346528,-3.814834
"1335","Prag",11,50.0596288,14.446459273258
"1336","Prague",14,50.0596288,14.446459273258
"1337","Praha",1333,50.0596288,14.446459273258
"1344","Prishtine",2,42.6638771,21.1640849
"1345","Prishtinë",4,42.6638771,21.1640849
"1348","Prudnik",1,50.3217212,17.5801041
"1349","Prudník",1,50.3217212,17.5801041
"1368","Ramat Gan",2,32.0686867,34.8246812
"1369","Rāmat Gan",8,32.0686867,34.8246812
"1377","Reichenberg",2,50.7702648,15.0583947
"1386","Reykjavik",4,64.145981,-21.9422367
"1387","Reykjavík",37,64.145981,-21.9422367
"1394","Riga",22,56.9493977,24.1051846
"1395","Rigā",7,56.9493977,24.1051846
"1396","Rīga",36,56.9493977,24.1051846
"1397","Rīgã",1,56.9493977,24.1051846
"1398","Rīgā",303,56.9493977,24.1051846
"1421","Roma",326,41.8933203,12.4829321
"1435","Ruma",1,41.8933203,12.4829321
"1444","S  Angela in Formis",1,NA,NA
"1446","s  l",1,35.57525385,-78.7423734349937
"1447","S  l",1,35.57525385,-78.7423734349937
"1450","s Gravenhage",21,52.0799838,4.3113461
"1452","s l",1,35.57525385,-78.7423734349937
"1453","S l",10,35.57525385,-78.7423734349937
"1454","Saarbrjukken",1,NA,NA
"1459","Saettle",1,NA,NA
"1469","Saint Pierre la Vieille",7,48.9188612,-0.5754629
"1470","Saint Pierre La Vieille",2,48.9188612,-0.5754629
"1471","Saint Quentin de Caplong",1,44.7832132,0.1305517
"1475","Saint Vith",1,50.2803881,6.1258953
"1478","Sala Södermalm",2,NA,NA
"1480","Salo",4,-31.7613365,-71.3187697
"1486","San Cugat del Vallés",1,41.4728432,2.0817809
"1496","Sankt Peterburg",275,59.938732,30.316229
"1497","Sankt Petersburg",1,59.938732,30.316229
"1498","Sant Cugat del Vallés",1,41.4728432,2.0817809
"1507","Santiago",2,-33.4377756,-70.6504502
"1508","Santiago de Chile",4,-33.4377756,-70.6504502
"1511","Sao José do Rio Preto",1,-20.8125851,-49.3804212
"1512","São José do Rio Preto",1,-20.8125851,-49.3804212
"1513","Sao Paulo",1,-23.5506507,-46.6333824
"1514","São Paulo",170,-23.5506507,-46.6333824
"1515","São Paulo SP",1,-23.5506507,-46.6333824
"1517","Saraviponti",2,NA,NA
"1547","Seltjarnarnesi",2,NA,NA
"1548","Senden in oppido Bavariae Suebicae",2,NA,NA
"1553","Seo ul",38,53.9326474,27.6093828
"1554","Seo ul si",16,53.9326474,27.6093828
"1555","Seo ul teug byeol si",2,NA,NA
"1559","Seyssel sur Rhône",1,NA,NA
"1561","Shang hai",88,31.2322758,121.4692071
"1562","Shang hai Shi",2,31.2322758,121.4692071
"1563","Shanghai",15,31.2322758,121.4692071
"1564","Shen yang",3,41.6749893,123.458674
"1565","Shen yang Shi",2,41.6749893,123.458674
"1567","Shi jia zhuang",11,38.0429742,114.5088385
"1568","Shijiazhuang",4,38.0429742,114.5088385
"1569","Shkode  r",4,NA,NA
"1570","Shkup",13,41.9960924,21.4316495
"1573","Sibiu",6,45.7973912,24.1519202
"1586","Skopje",92,41.9960924,21.4316495
"1592","Smalensk",1,54.7814057,32.0461261
"1594","Smederovo",1,NA,NA
"1595","Smolensk",1,54.7814057,32.0461261
"1601","Sofjia",1,NA,NA
"1605","Somonte Cenero",1,NA,NA
"1618","Sremski Karlovci",8,45.2030463,19.9338336
"1619","Sremski Karlovici",1,45.2030463,19.9338336
"1623","St  Vith",1,50.2803881,6.1258953
"1624","St Petersburg",1,59.938732,30.316229
"1625","St Quentin de Caplong",4,44.7832132,0.1305517
"1644","Strasbourg",17,48.584614,7.7507127
"1645","Strassburg",1,48.584614,7.7507127
"1646","Straßburg",1,48.584614,7.7507127
"1653","Stuttgart  i e  Fellbach",1,NA,NA
"1661","Suwa",7,36.03209,138.114118
"1662","Suwashi",1,36.03209,138.114118
"1664","Sverdlovsk",1,56.7881462,60.6689577911664
"1673","T arn asen",2,NA,NA
"1675","T bilissi",1,NA,NA
"1676","Tʹbilisi",1,41.6934591,44.8014495
"1681","Tafalla",1,42.5278279,-1.6744823
"1682","Tafalla Nafarroa",3,42.5278279,-1.6744823
"1684","Tai bei",112,25.0375198,121.5636796
"1685","Tai bei shi",1,25.0375198,121.5636796
"1686","Tai bei Shi",7,25.0375198,121.5636796
"1688","Taibei",8,25.0375198,121.5636796
"1689","Taibei shi",1,25.0375198,121.5636796
"1690","Taibei Shi",1,25.0375198,121.5636796
"1692","Taksim",17,41.0380506,28.985549
"1693","Taksim İstanbul",4,41.0380506,28.985549
"1694","Tallin",1,59.4372155,24.7453688
"1695","Tallinn",372,59.4372155,24.7453688
"1707","Tbilisi",3,41.6934591,44.8014495
"1708","Tbilissi",2,41.6934591,44.8014495
"1710","Teheran",2,35.6892523,51.3896004
"1711","Tehran",131,35.6892523,51.3896004
"1712","Tehran Iran",1,35.6892523,51.3896004
"1713","Tel Aviv",88,32.0852997,34.7818064
"1714","Tēl Āvîv",75,32.0852997,34.7818064
"1716","Temeswar",1,45.7538355,21.2257474
"1718","Tepebaşı Beyoğlu",1,41.0324757,28.9735828
"1728","Thessalonlikē",1,NA,NA
"1734","Tihran",1,NA,NA
"1736","Timişoara",12,45.7538355,21.2257474
"1737","Tirana",5,41.3281482,19.8184435
"1738","Tirane",37,41.3281482,19.8184435
"1739","Tiranë",48,41.3281482,19.8184435
"1740","Tirano",1,41.3281482,19.8184435
"1745","Tokyo",1,35.6828387,139.7594549
"1746","Tōkyō",446,35.6828387,139.7594549
"1751","Tolvsrad",1,NA,NA
"1754","Torino",151,45.0677551,7.6824892
"1758","Torun",1,53.0145361,18.5965831446516
"1759","Toruń",10,53.0145361,18.5965831446516
"1760","Torún",1,53.0145361,18.5965831446516
"1782","Turin",1,45.0677551,7.6824892
"1783","Turitg",2,47.3744489,8.5410422
"1785","Tver",1,56.858675,35.9208284
"1786","Tverʹ",3,56.858675,35.9208284
"1789","Udine",7,46.0634632,13.2358377
"1793","Újvidék",1,45.2551338,19.8451756
"1810","Uviéu",4,43.3604218,-5.8450534
"1811","V Bratislave",3,48.1425382,17.1063047032882
"1812","V Bratislavě",1,48.1425382,17.1063047032882
"1819","V Praze Podlesí",1,NA,NA
"1823","Valby",5,55.6618019,12.5169523
"1825","Valence",1,39.4697065,-0.3763353
"1826","Valencia",34,39.4697065,-0.3763353
"1827","València",12,39.4697065,-0.3763353
"1831","Vallodolid",2,NA,NA
"1833","Vanves Cedex",4,NA,NA
"1834","Varazdin",1,46.31267315,16.3510190970873
"1835","Varaždin",2,46.31267315,16.3510190970873
"1848","Venaxomoduri",1,NA,NA
"1860","Vic",3,-36.5986096,144.6780052
"1862","Victoria",5,-36.5986096,144.6780052
"1863","Vídeň",1,48.2083537,16.3725042
"1870","Villands V anga",1,NA,NA
"1875","Vilnius",407,54.6870458,25.2829111
"1903","Warsaw",1,52.2319581,21.0067249
"1904","Warschau",2,52.2319581,21.0067249
"1905","Warszawa",744,52.2319581,21.0067249
"1906","Warszwa",1,NA,NA
"1911","Weiden",1,46.0634632,13.2358377
"1927","Wien",22,48.2083537,16.3725042
"1934","Wilno",1,54.6870458,25.2829111
"1945","Wroclaw",4,51.1263106,16.9781963305126
"1946","Wrocław",156,51.1263106,16.9781963305126
"1953","Xiang gang",1,22.2793278,114.1628131
"1956","Xixón",6,43.5449422,-5.66275
"1964","Zabgreb",1,NA,NA
"1968","Zaporož e",1,NA,NA
"1969","Zaprešic",1,45.8572728,15.8050436
"1970","Zaprešić",39,45.8572728,15.8050436
"1971","Zapršić",1,NA,NA
"1980","Zenica Tuzla",1,NA,NA
"1984","Zlin",1,49.226766,17.6667415
"1985","Zlín",37,49.226766,17.6667415
"1989","Zurich",10,47.3744489,8.5410422
"1990","Zürich",76,47.3744489,8.5410422
"1991","Zurigo",1,47.3744489,8.5410422
