"","uniform.title","count"
"167","Adrienne Thomas Andrea",1
"168","Adrienne Thomas Dreiviertel Neugier",1
"169","Adrienne Thomas Reisen Sie ab Mademoiselle",1
"170","Affäre Nina B",3
"171","Affäre Nina Bn",1
"172","Affenstarke Geburtstagswünsche",1
"173","Afrikanische Geschichten",1
"174","Afrikanische Märchen",1
"175","Afrikanische Märchennd",1
"176","Afrikanische Spiele",3
"177","Afrikanische Weisheiten",1
"178","Age of myth",1
"179","Agent auf leisen Pfoten",1
"180","Agenten lieben gefährlich",2
"181","Agentur Istanbul",1
"182","Aglaja Veteranyi Warum das Kind in der Polenta kocht",5
"183","Agnes",9
"184","Agnesnd",1
"185","Agrippinas Geheimnisnd",1
"186","Ahasver",3
"187","Aichinger",1
"188","Aint she sweet",1
"189","AirportKlinik",2
"190","AirportKliniknd",2
"191","Aischa",1
"192","Akte Rosenherznd",1
"193","Aladins Problem",5
"194","Aladins Problemrk",1
"195","Alarm Das Weiberschiff",1
"196","Albert Duncel",1
"197","Albert und Albert",1
"198","Albert Vigoleis Thelen Die Insel des zweiten Gesichts",1
"199","Alberta empfängt einen Liebhaber",8
"200","Alberta empfängt einen Liebhaber neugriech",1
"201","Alberta empfängt einen Liebhabernd",1
"202","Albissers Grund",1
"203","Albrecht Dürer",1
"204","Albrecht Haller von Die Alpen",1
"205","Alex  Adrenalin pur",1
"206","Alex Capus Das Leben ist gut",4
"207","Alex Capus Eine Frage der Zeit",1
"208","Alex Capus Léon und Louise",2
"209","Alexander",5
"210","Alexander der Kleine",1
"211","Alexander Kluge Chronik der Gefühle",1
"212","Alexander Kluge Lebensläufe",1
"213","Alexander Kluge Nachricht von ruhigen Momenten",1
"214","Alexander LernetHolenia Mars im Widder",1
"215","Alexander oder was ist Wahrheit",1
"216","Alexanders neue Welten",1
"217","Alf",2
"218","Alfred Andersch Der Vater eines Mörders",1
"219","Alfred Andersch Die Rote",1
"220","Alfred Andersch Sansibar",2
"221","Alfred Andersch Werke",1
"222","Alfred Döblin Berlin Alexanderplatz",5
"223","Alfred Döblin Die Ermordung einer Butterblume",1
"224","Alfred Döblin Hamlet",1
"225","Alfred Döblin Manas",1
"226","Alfred Döblin November 1918",1
"227","Alfred Döblin Verratenes Volk",1
"228","Alfred Kubin Die andere Seite",1
"229","Alfred Schirokauer Messalina",1
"230","Ali der Meisterdieb",1
"231","Ali und Nino",9
"232","Ali und Nino Iwrith",1
"233","Ali und Ninon",1
"234","Ali und Ninond",1
"235","Alice",6
"236","Alice der Klimawandel und die Katze Zeta",1
"237","Alicen",1
"238","Alicend",1
"239","Alices Reise in die Schweiz",1
"240","Alina Bronsky Baba Dunjas letzte Liebe",3
"241","Alina Bronsky Der Zopf meiner Großmutter",1
"242","Alina Bronsky Die schärfsten Gerichte der tatarischen Küche",3
"243","Alina Bronsky Nenn mich einfach Superheld",1
"244","Alina Bronsky Scherbenpark",1
"245","Alina Herbing Niemand ist bei den Kälbern",1
"246","Alison geliebte Gauklerin",2
"247","All das wünsch ich dir",2
"248","Allah il Allahnd",1
"249","Alle Farben der Sonne und der Nacht",1
"250","Alle Gute kommt von obennd",1
"251","Alle guten Wünschend",1
"252","Alle Liebe dieser Welt",1
"253","Alle Menschen werden Brüder",4
"254","Alle Nähe fern",1
"255","Alle sieben Wellen",12
"256","Alle sieben Wellenn",1
"257","Alle sieben Wellennd",1
"258","Alle sterben auch die Löffelstöre",1
"259","Alle Tage",8
"260","Alle Tage neugriech",1
"261","Alle Tagend",1
"262","Alle Tagerk",1
"263","Alle Toten fliegen hoch",1
"264","Alle Toten fliegen hoch lt1",1
"265","Alle Träume führen nach Wien",1
"266","Alle unsere Spiele",1
"267","Alle Wege führen nach Rom",1
"268","Alle Zeit der Welt",1
"269","Allein in Dirty Town",1
"270","Alleine war gestern",2
"271","Allemann",3
"272","Allen Gewalten zum Trotz",1
"273","Aller Anfang ist Apulien",1
"274","Aller Liebe anfang",1
"275","Aller Liebe Anfang",2
"276","Aller Tage Abend",6
"277","Aller Tage Abendnd",1
"278","Aller Welt Freund",1
"279","Allerleirauh",1
"280","Alles alles Liebe",2
"281","Alles andere als ein Held",1
"282","Alles andere als ein Heldnd",1
"283","Alles auf Anfang",1
"284","Alles bestens geregelt",1
"285","Alles dreht sich",1
"286","Alles Gute aus Shanghai",1
"287","Alles Gute zum Geburtstag",1
"288","Alles hat seine Stunde",1
"289","Alles hat seinen Preis",1
"290","Alles hat sich geändert",1
"291","Alles inklusive",1
"292","Alles ist einfach",1
"293","Alles ist einfachn",1
"294","Alles ist jetzt",1
"295","Alles ist Klang",1
"296","Alles Land",1
"297","Alles Liebe",2
"298","Alles Liebe zur Hochzeitnd",1
"299","Alles muss versteckt sein",2
"300","Alles nur geklaut",1
"301","Alles nur Theaternd",1
"302","Alles palettind",1
"303","Alles Plastik",1
"304","Alles über Sally",4
"305","Alles umsonst",1
"306","Alles was zählt",8
"307","Alles was zählt neugriech",1
"308","Alles was zähltn",1
"309","Alles was zähltnd",1
"310","Alles wegen Laura",1
"311","Alles wird gut",1
"312","Alles wirkliche Leben ist Bewegung",1
"313","Allmählich wird es Tagnd",1
"314","Allmen und der rosa Diamant",2
"315","Allmen und die Dahlien",2
"316","Allmen und die Libellen",1
"317","Allmen und die verschwundene Maria",1
"318","Alma  Jasmin",1
"319","Almansor",1
"320","Alonso",1
"321","Alpenglühen",3
"322","Alpenvorland",1
"323","Alptraum in Blau",1
"324","AlpTraum Terror",1
"325","Alraune",4
"326","Als das Leben begann",1
"327","Als das Leben unsere Träume fand",1
"328","Als die Götter Mensch waren",1
"329","Als die Liebe endlich war",1
"330","Als die richtige Zeit verschwand",1
"331","Als die Winter noch Winter waren",2
"332","Als Gott den Mann schuf hat sie nur geübt neugriech",1
"333","Als ich dir zeigte wie die Welt klingt",1
"334","Als ich ein kleiner Junge war",1
"335","Als Kalisch deutsch war ",1
"336","Als Maria Gott erfand",1
"337","Als ob ein Engel",1
"338","Als Vaters Bart noch rot war",1
"339","Als wäre es Liebend",1
"340","Als wir Schwestern waren",1
"341","Als wir träumten",2
"342","Als wir träumtenn",1
"343","Als wir träumtenrk",1
"344","Also sprach Zarathustra",29
"345","Also sprach Zarathustran",1
"346","Also sprach Zarathustrand",1
"347","Altägyptische Märchen",1
"348","Alte Bilder Geschichten",1
"349","Alte Liebe",3
"350","Alte Meister",20
"351","Alte Meister Iwrith",1
"352","Alte Meister neugriech",1
"353","Alte Meistern",1
"354","Alte Meisternd",1
"355","Alte Meisterrk",1
"356","Alter Mann",1
"357","Altneuland",2
"358","Altneuland Iwrith",1
"359","Altvatersagen",1
"360","Am Abgrund",1
"361","Am Abgrundrk",1
"362","Am Anfang sind sie noch Kinderrk",1
"363","Am Anfang war die Nacht Musik",3
"364","Am Anfang war die Nacht Musiknd",1
"365","Am Ende bleiben die Zedern",1
"366","Am Ende des Schweigens",6
"367","Am Ende des Schweigensnd",1
"368","Am Ende des Tages",1
"369","Am Ende des Weges Texaner für immer",1
"370","Am Fluss",3
"371","Am Grund der Zeit",1
"372","Am Hang",9
"373","Am Hang Iwrith",1
"374","Am Hangnd",1
"375","Am Hangrk",1
"376","Am Jenseits",1
"377","Am kalten Hang",1
"378","Am Kamin erzählt",1
"379","Am kürzeren Ende der Sonnenallee",11
"380","Am kürzeren Ende der Sonnenalleen",1
"381","Am kürzeren Ende der Sonnenalleend",1
"382","Am Leben hin",1
"383","Am Morgen vor der Reise",1
"384","Am Rande der ungestillten Brunnen",1
"385","Am Rio de LaPlata",3
"386","Am Schreibtisch",1
"387","Am Seil",1
"388","Am Stillen Ozean",1
"389","Am Südhang",1
"390","Am Südpol denkt man ist es heiß",2
"391","Am Ufer des Sees",1
"392","Am Ufer des Styx",2
"393","Am Ufer des Styxnd",1
"394","Am Wasser",2
"395","Am Ziel",2
"396","Amadeus",1
"397","Amanda herzlos",5
"398","Amanda herzlosn",1
"399","Amanda herzlosrk",1
"400","Amanda und das Zauberbuch",1
"401","Amateur",1
"402","Amazonas",2
"403","Amerigo",1
"404","Amerika",5
"405","Amigdala",1
"406","Amigo",1
"407","Amigond",1
"408","Amokspiel",7
"409","Amokspielnd",1
"410","Amor und Amok",1
"411","Amor vincit omnia",1
"412","Amorbach",1
"413","Amore amore",1
"414","Amphitryon",2
"415","Amphitryon neugriech",1
"416","Amphitryonn",1
"417","Amras",3
"418","Amrasrk",1
"419","Amries Vermächtnis",1
"420","Amtmanns Käthe",1
"421","An allem warn die Pillen schuld",1
"422","An den Küsten des Lichts",1
"423","An der Baumgrenze",1
"424","An der Pforte zur letzten Latern",1
"425","An diesem Dienstag",1
"426","An einem Mittwoch im September",1
"427","An einem Tag wie diesem",5
"428","An einem Tag wie diesemnd",1
"429","An Nachtfeuern der Karawanserail",1
"430","An Nachtfeuern der KarawanSerail",1
"431","An Nachtfeuern der KarawanSerailrk",1
"432","Anatol",4
"433","Anatolin",2
"434","Anatomie einer Nacht",3
"435","Anatomie einer Nachtn",1
"436","Anatomie für Künstler",1
"437","Anatomie Titus Fall of Rome",1
"438","Andere Umständerk",1
"439","Andern Orts",1
"440","Andernorts",4
"441","Anders als gedacht",1
"442","Anders Iwrith",1
"443","Andersen",1
"444","Änderungsschneiderei Los Milagros",3
"445","Änderungsschneiderei Los Milagrosnd",1
"446","Andorra",3
"447","Andorrand",1
"448","Andorratoroman",1
"449","André Kubiczek Skizze eines Sommers",1
"450","André und Ursula",1
"451","Andreas",2
"452","Andreas Föhr Eisenberg",2
"453","Andreas Hartknopf",1
"454","Andreas Pflüger Endgültig",8
"455","Andreas Pflüger Niemals",2
"456","Androgyne",1
"457","Anekdote aus dem letzten preussischen Kriege",1
"458","Angeklagt",1
"459","Angel",1
"460","Angela Borgiand",1
"461","Angela Lehner Vater unser",1
"462","Angelika Klüssendorf April",3
"463","Angelika Klüssendorf Das Mädchen",1
"464","Angelika Zöllner Das rote Haus",1
"465","Angelo  Frucht der Gewalt",1
"466","Angelus ltSilesius Cherubinischer Wandersmann",4
"467","Angst",2
"468","Angst essen Seele auf",1
"469","Angst neugriech",1
"470","Angstblütend",1
"471","Animal triste",11
"472","Animal tristend",1
"473","Anja Jonuleit Der Apfelsammler",1
"474","Anja und Esther",1
"475","Ankwin  Tod eines Kriegers",1
"476","Anmerkungen übers Theater",1
"477","Ann Cotten Der schaudernde Fächer",1
"478","Anna annA",1
"479","Anna Göldin letzte Hexe",4
"480","Anna Kim Die gefrorene Zeit",1
"481","Anna Kim Die große Heimkehr",2
"482","Anna nicht vergessen",1
"483","Anna Seghers Das siebte Kreuz",4
"484","Anna Seghers Der Ausflug der toten Mädchen",1
"485","Anna Seghers Der Kopflohn",1
"486","Anna Seghers Drei Frauen aus Haiti",1
"487","Anna Seghers Transit",3
"488","Anna Sehnsucht",1
"489","Anna und ichnd",1
"490","Annäherungen",3
"491","Annäherungenn",1
"492","Anne Gesthuysen Sei mir ein Vater",1
"493","Anne Gesthuysen Wir sind doch Schwestern",1
"494","Anne Jacobs Die Töchter der Tuchvilla",2
"495","Annemarie Schwarzenbach Eine Frau zu sehen",1
"496","Annemarie Schwarzenbach Lyrische Novelle",1
"497","Annette DrosteHülshoff von Die Judenbuche",1
"498","Annette Hess Deutsches Haus",14
"499","Anrufung des Großen Bärennd",1
"500","Ans Meer",1
"501","Ansichten eines Clowns",21
"502","Ansichten eines Clowns galic",1
"503","Ansichten eines Clownsn",1
"504","Ansichten eines Clownsnd",2
"505","Ansichten eines Clownsrk",1
"506","Anthroposophischer Seelenkalender",10
"507","Anthroposophischer Seelenkalendernd",1
"508","AntiStressAdventskalender",1
"509","AntiStressol",1
"510","Anton in Amerika",1
"511","Anton kann zaubern",1
"512","Anton Reiser",5
"513","Antonello Borra Alfabestiario",1
"514","Antwort aus der Stille",2
"515","Anubis",2
"516","Äon",1
"517","Apachus",1
"518","Apocalypsis",4
"519","Apostoloff",7
"520","Apostoloff engl",1
"521","April in Paris",16
"522","Aprilgewitter",1
"523","Arbeit und Strukturnd",1
"524","Arc de triomphe",1
"525","Arc de Triomphe",19
"526","Arc de Triomphen",1
"527","Ardinghello und die glückseligen Inseln",1
"528","Area 51",1
"529","Argo Cargo",1
"530","Ariadne auf Naxos",1
"531","Arietta",1
"532","Arkadien brennt",5
"533","Arkadien erwacht",4
"534","Arkadien fällt",5
"535","Armada der Orbiter",1
"536","Armes Schwälbchen",1
"537","Armin Öhri Die dunkle Muse",2
"538","Armin P Barth Łza poety ltZusammenstellung",1
"539","Armut Reichtum Mensch und Tier",1
"540","Arne Drews Himalaya Gold",1
"541","Arne Drews Monsun",1
"542","Arnes Nachlass",7
"543","Arnes Nachlaß",1
"544","Arnes Nachlass Iwrith",1
"545","Arno Camenisch Bündner Trilogie",1
"546","Arno Camenisch Der letzte Schnee",1
"547","Arno Camenisch Hinter dem Bahnhof",1
"548","Arno Camenisch Sez Ner",2
"549","Arno Camenisch Ustrinkata",1
"550","Arno Geiger Es geht uns gut",2
"551","Arno Geiger Unter der Drachenwand",3
"552","Arno Schmidt Das steinerne Herz",1
"553","Arno Schmidt Die Gelehrtenrepublik",1
"554","Arno Schmidt Die Umsiedler",1
"555","Arno Schmidt Kühe in Halbtrauer",1
"556","Arno Schmidt Leviathan",1
"557","Arno Schmidt Nobodaddys Kinder",1
"558","Arno Schmidt Seelandschaft mit Pocahontas",1
"559","Arno Schmidt Sommermeteor",1
"560","Arno Strobel Die Flut",1
"561","Arno Surminski Grunowen",1
"562","Arnold Zweig Aufzeichnungen über eine Familie Klopfer",1
"563","Arnold Zweig Das Beil von Wandsbek",1
"564","Arnold Zweig Der Streit um den Sergeanten Grischa",1
"565","Arnold Zweig Erziehung vor Verdun",2
"566","Arsinoe Königin von Ägypten",2
"567","Arthur Koestler Darkness at noon",1
"568","Arthur Morrison Martin Hewitt investigator",1
"569","Arthur Schnitzler Casanovas Heimfahrt",1
"570","Arthur Schnitzler Der einsame Weg",1
"571","Arthur Schnitzler Der Weg ins Freie",1
"572","Arthur Schnitzler Fink und Fliederbusch",1
"573","Arthur Schnitzler Frau Beate und ihr Sohn",1
"574","Arthur Schnitzler Fräulein Else",1
"575","Arthur Schnitzler Kuklovodăt ltZusammenstellung",1
"576","Arthur Schnitzler Lieutenant Gustl",1
"577","Arthur Schnitzler Professor Bernhardi",1
"578","Arthur Schnitzler Reigen",1
"579","Arthur Schnitzler Später Ruhm",2
"580","Arthur Schnitzler Spiel im Morgengrauen",2
"581","Arthur Schnitzler Therese",1
"582","Arthur Schnitzler Traumnovelle",1
"583","Artischockenherz",1
"584","Ärztinnen",1
"585","Arztroman",1
"586","Aschenbrödel",2
"587","Aschenbrödel und Dollarprinz",1
"588","Aschenputtelfluch",1
"589","Ashantee",2
"590","Aspasia",1
"591","Astrid Rosenfeld Adams Erbe",2
"592","Astrologie für Katzen",3
"593","Astropolisn",1
"594","Atempausen für den Alltag",1
"595","Atempausen für den Alltagnd",1
"596","Atemschaukel",30
"597","Atemschaukel galic",1
"598","Atemschaukel neugriech",1
"599","Atemschaukeln",2
"600","Atemschaukelnd",2
"601","Atlans Rückkehr",1
"602","Atlantis",1
"603","Atlas eines ängstlichen Mannes",2
"604","Atlas eines ängstlichen Mannesnd",1
"605","Ätsch jetzt gründen wir eine Bank",1
"606","Attila",1
"607","Au bureau",1
"608","Auch wenn ich lache muss ich weinen",3
"609","Auch wenn ich lache muß ich weinen",1
"610","Auch wenn ich lache muss ich weinenn",1
"611","Auch wenn ich lache muss ich weinennd",1
"612","Auf Abwegen und andere Verirrungen",1
"613","Auf dass wir klug werden",1
"614","Auf dem Felsen der schwarzen Vögel",1
"615","Auf dem Strom",2
"616","Auf dem Turm",3
"617","Auf dem Turm Iwrith",1
"618","Auf den Inseln des letzten Lichts",1
"619","Auf den Marmorklippen",11
"620","Auf den Marmorklippenn",2
"621","Auf den Marmorklippennd",1
"622","Auf den Marmorklippenrk",1
"623","Auf den Spuren unserer Vergangenheit",1
"624","Auf den Spuren von Dan Browns Inferno",1
"625","Auf den Stufen des Mondes",1
"626","Auf der anderen Seite ist das Gras viel grüner",4
"627","Auf der Erde und in der Hölle",1
"628","Auf der Galerie",1
"629","Auf der Jungfernburg",1
"630","Auf der Suche nach Gatt",1
"631","Auf der Universität",1
"632","Auf falschem Boden",1
"633","Auf freiem Fuß",1
"634","Auf Freiheit zugeschnitten",1
"635","Auf fremden Pfaden",1
"636","Auf Leben und Tod",1
"637","Auf Reisen",1
"638","Auf Sand gebaut",3
"639","Aufbruch der Basis",1
"640","Auferstehung der Toten",7
"641","Aufgetakelt",1
"642","Aufstand der Fischer von St Barbara",2
"643","Aufstand der Soldaten",4
"644","Aufstieg und Fall der Stadt Mahagonny",1
"645","Auftrag in Tartu",1
"646","Aufzeichnungen aus dem Irrenhaus",1
"647","Aufzeichnungen aus einem Erdlochnd",1
"648","Aufzeichnungen für MarieLouise",1
"649","Auge des Mondes",2
"650","Auge um Auge",1
"651","Augen zu",1
"652","Augenbilderrk",1
"653","Augenblicke des Lächelns",1
"654","August",4
"655","Auguste Bolte",1
"656","Augustus",2
"657","Auris",1
"658","Auroras Anlass",6
"659","Aus Böhmens Hain und Flur",1
"660","Aus dem Bleistiftgebiet",2
"661","Aus dem Bleistiftgebietn",1
"662","Aus dem böhmischen Ghetto",1
"663","Aus dem Elend in das Glück",1
"664","Aus dem Leben eines Erfolgsschriftstellers",1
"665","Aus dem Leben eines Fauns",4
"666","Aus dem Leben eines Fauns neugriech",1
"667","Aus dem Leben eines Faunsnd",1
"668","Aus dem Leben eines Taugenichts",7
"669","Aus dem Leben eines Taugenichts Iwrith",1
"670","Aus dem Leben eines Taugenichts neugriech",1
"671","Aus dem Leben lernen",4
"672","Aus dem Nichts ein neues Leben",3
"673","Aus dem Nichts ein neues Lebennd",1
"674","Aus dem Schneider",1
"675","Aus dem Schneidern",1
"676","Aus dem Sinn",1
"677","Aus dem Tagebuch einer Schnecke",4
"678","Aus dem Tagebuch eines Hundes",1
"679","Aus dem Tagebuch eines Hundes ",1
"680","Aus den Fugen",3
"681","Aus den Fugennd",1
"682","Aus den Geleisen",1
"683","Aus den Hochgebirgen von Granada",1
"684","Aus den Memoiren des Herren von Schnabelewopski",2
"685","Aus den Memoiren des Herrn von Schnabelewopski",1
"686","Aus den Memoiren des Herrn von Schnabelewopskind",1
"687","Aus den Memoiren einer Sängerin",5
"688","Aus den Tagebüchern",1
"689","Aus der Fremde",1
"690","Aus der rumänischen Gesellschaftn",1
"691","Aus der Triumphgasse",1
"692","Aus eisiger Tiefe",1
"693","Aus erster Ehe",2
"694","Aus geteilten Städten",1
"695","Aus grosser Zeit",1
"696","Aus guter Familie",1
"697","Aus Indien",1
"698","Aus Liebe",1
"699","Aus meinem Leben",1
"700","Aus meiner Werkstatt",1
"701","Aus stillen Gassen und von kleinen Leuten",1
"702","Ausgebrannt",4
"703","Ausgebranntn",1
"704","Ausgebremst",2
"705","Ausgeliebt",4
"706","Ausgerechnet wir",1
"707","Ausgesetzt auf den Bergen des Herzens",2
"708","Ausgetrixt",1
"709","Ausgeübt",1
"710","Ausgewählte Gedichte",1
"711","Ausgrenzung",2
"712","Ausgrenzungnd",1
"713","Ausharren im Paradies",1
"714","Auslöschung",15
"715","Auslöschung neugriech",1
"716","Auslöschungn",2
"717","Auslöschungrk",1
"718","Ausreiseantrag",2
"719","Außendeichs und binnendeichs",1
"720","Aussichten auf den Bürgerkrieg",2
"721","Austerlitz",13
"722","Austerlitznd",1
"723","Australia  Eukalyptusfeuer",1
"724","Australia  Goldzeit",1
"725","Ausverkauf der Heldennd",1
"726","Auswertung der Flugdaten",1
"727","Autofahren für Einsteiger",1
"728","Ave Vergil",2
"729","Avenue America",2
"730","Aztec autumn",2
"731","Azurblau für zwei",2
"732","Baal",5
"733","Baba Dunjas letzte Liebe",5
"734","Babuljas Glück",1
"735","Baby wider Willen",1
"736","Babyboom",1
"737","Babylonische Dämmerung",1
"738","Babylonische Wandrung oder Hochmut kommt vor dem Fall",1
"739","Bacons Finsternis",1
"740","Bahnhofsprosa",1
"741","Bahnwärter Thiel",3
"742","Baiyun oder die Freundschaftsgesellschaft",1
"743","Bald ruhest du auch",1
"744","Bald stirbst auch du",1
"745","Ballmanns Leiden oder Lehrbuch für Konkursrecht",1
"746","Balsam für die Seele",3
"747","Baltische Romane",1
"748","Bambiland",2
"749","Banatsko",1
"750","Bankrottidylle",1
"751","Barbar Rosa",2
"752","Barbar Rosand",1
"753","Barbara",1
"754","Barbara oder die Frömmigkeit",2
"755","Barbarswila",1
"756","Bardioc und die Kaiserin",1
"757","Bärenkräfte für dich",1
"758","Barfuß",1
"759","Barfuß durch glühende Lava",1
"760","Barfüssiger Februar",1
"761","Barfüssiger Februarn",1
"762","Barfüßiger Februarnd",1
"763","Barfussn",1
"764","Bärig liebe Grüße für dich",1
"765","Bärig liebe Wünsche",1
"766","Baron Münchhausen",1
"767","Barrier Reef",1
"768","Bartls Abenteuer",1
"769","Bartls Abenteuernd",2
"770","Batavia 1629",1
"771","Bauchlandungnd",1
"772","Bauern Bonzen und Bomben",2
"773","Bauern sterben",2
"774","Bäume fliehen nicht",1
"775","Baur und Bindschädler",1
"776","Beat Sterchi Blösch",1
"777","Beate und Mareile",3
"778","Beatrice Meier Alleine war gestern",2
"779","Bebuquin oder die Dilettanten des Wunders",1
"780","Becks letzter Sommer",6
"781","Bedenkliche Geschichten",1
"782","Beele",1
"783","Beerholms Vorstellung",3
"784","Begegnung auf Olymp",1
"785","Begegnung im Nebel",1
"786","Begegnung in Barind",1
"787","Begegnung mit dem Fremden",1
"788","Begegnungen mit Menschen Büchern Städten",1
"789","Beginenfeuer",2
"790","Beginnlosigkeit",2
