"","place","Freq","X","latitude","longitude"
"63","Cairo",26,293,30.0443879,31.2357257
"64","Cambridge",27,296,52.2055314,0.1186637
"65","Cangas do Morrazo",6,298,42.2647235,-8.7796487
"66","Casale Monferrato",21,312,45.1362661,8.4498127
"67","Castellón",8,315,40.25185675,-0.0615051101057482
"68","Çekmeköy",6,321,41.04021,29.1750588
"69","Celje",22,322,46.2293889,15.2616828
"70","Çemberlitaş",8,325,37.8125438,38.3460719
"71","Černivci",25,331,48.2864702,25.9376532
"72","Český Těšín",10,335,49.7464018,18.6260976
"73","Champaign",16,341,40.1164841,-88.2430932
"74","Chêne Bourg",6,359,46.1942388,6.1934779
"75","Chicago",33,365,41.8755616,-87.6244212
"76","Chong qing",8,373,41.3945898,2.1745957
"77","Cluj Napoca",15,390,46.769379,23.5899542
"78","Columbia",30,403,4.099917,-72.9088133
"79","Córdoba",5,411,37.8845813,-4.7760138
"80","Curitiba",5,424,-25.4295963,-49.2712724
"81","Đakovo",9,430,45.3080745,18.4116376
"82","Debrecen",14,435,47.531399,21.6259782
"83","Den Haag",30,438,52.0799838,4.3113461
"84","Deventer",12,444,52.2695736,6.2363396047667
"85","Dimašq",37,450,33.4708234,37.6476319987198
"86","Donostia",23,459,43.3224219,-1.9838889
"87","Dražgoše",10,465,46.2524002,14.1755775
"88","Dresden",8,466,51.0493286,13.7381437
"89","Dublin",7,468,53.3497645,-6.2602732
"90","Düsseldorf",9,479,51.2254018,6.7763137
"91","Ede",20,482,52.07168255,5.74551063103494
"92","Edinburgh",10,483,55.9533456,-3.1883749
"93","Eindhoven",8,489,51.4392648,5.478633
"94","Engelskirchen",5,498,50.9872964,7.4084206
"95","Erevan",27,502,40.1776245,44.5126174
"96","Euba",9,515,50.8342763,13.0223213
"97","Evanston",45,516,42.0447388,-87.6930459
"98","Faenza",9,521,44.2855555,11.8832055
"99","Ferrara",8,532,44.76676425,11.8279389956402
"100","Frankfurt",84,543,50.1106444,8.6820917
"101","Freiberg a N",8,556,47.4053288,10.2705501
"102","Frýdek Místek",51,561,49.685635,18.3483416
"103","Furth im Wald",5,564,49.308165,12.8452877
"104","Gabrovo",19,566,42.9638895,25.2119538464642
"105","Gata de Gorgos   Alicante",95,572,38.7695694,0.0672449570502318
"106","Gdańsk",43,576,54.36119285,18.6286088336207
"107","Gdynia",8,577,54.50383255,18.4628061558846
"108","Geneve",72,582,46.2017559,6.1466014
"109","Genève",34,583,46.2017559,6.1466014
"110","Genova",20,586,44.40726,8.9338624
"111","Gent",8,587,51.0538286,3.7250121
"112","Glasgow",5,595,55.8609825,-4.2488787
"113","Gornji Milanovac",5,606,44.0243159,20.4600377
"114","Göteborg",19,609,57.7072326,11.9670171
"115","Grand Haven",47,615,43.0630734,-86.2283864
"116","Groningen",8,626,53.2190652,6.5680077
"117","Gui yang",8,635,25.7561647,112.72964
"118","Guilin",9,636,25.238704,110.1750728
"119","Güneşli",16,640,41.0377883,28.8284955
"120","Hà Nôi",48,647,21.0294498,105.8544441
"121","Haarlem",6,649,52.38370575,4.64355969655963
"122","Hai kou",13,651,20.0462328,110.1956502
"123","Hamburg",25,654,53.550341,10.000654
"124","Hämeenlinna",16,655,60.9948584,24.46654
"125","Hannover",6,660,52.3744779,9.7385532
"126","Harmondsworth",26,662,51.4889317,-0.4755435
"127","Harpenden",9,663,51.8145103,-0.3549311
"128","Haselbach",20,664,49.0027014,12.6927538
"129","Heerenveen",5,679,52.9984742,5.92314879503806
"130","Hefei",7,680,31.8228094,117.2218033
"131","Heidelberg",5,681,49.4093582,8.694724
"132","Helsingissä",43,686,60.1982015,24.9019574047648
"133","Helsingør",5,689,56.0348739,12.6130073
"134","Höganäs",6,709,56.2,12.566667
"135","Hohen Neuendorf",6,710,52.6732755,13.2807255
"136","Højbjerg",19,713,56.1136618,10.1903165
"137","Hondarribia",20,718,43.3671565,-1.79724589534573
"138","Horsens",7,723,55.8611696,9.8444774
"139","Houten",19,724,52.03061555,5.16121663942668
"140","Iaşi",67,735,47.1615341,27.5836142
"141","Innsbruck",10,748,47.2654296,11.3927685
"142","Irún",10,751,43.3383176,-1.7888095
"143","Izabelin",6,761,52.7076808,19.4530677
"144","İzmir",5,762,38.4224548,27.1310699
"145","Jakarta",12,765,-6.1753942,106.827183
"146","Jelenia Góra",8,769,50.8501049,15.6537492354081
"147","Jyväskylä",38,777,62.2393431,25.7458236
"148","Kaapstad",8,778,-33.928992,18.417396
"149","Kadıköy",11,780,40.9915716,29.0270173
"150","Kâğıthane",5,783,41.08598,28.9726208
"151","Kaliningrad",6,787,54.710128,20.5105838
"152","Kampen",30,792,52.5559484,5.9033303
"153","Karlsruhe",18,797,49.0068705,8.4034195
"154","Kaunas",53,803,54.8982139,23.9044817
"155","Kežmarok",5,816,49.1362088,20.4308701
"156","Kielce",29,820,50.85403585,20.6099143521015
"157","Kiev",9,821,50.4500336,30.5241361
"158","Kızılay",10,826,39.7447949,39.4855449
"159","Klagenfurt",68,828,46.6228162,14.3079604
"160","Kolham",12,841,53.182169,6.7446258
"161","Korntal",11,851,48.8296536,9.1233501
"162","Košice",8,853,48.7172272,21.2496774
"163","Kostelní Vydří",43,855,49.1060609,15.4216563
"164","Krung Thēp",6,873,48.5873754,2.2464974
"165","Kuddewörde",5,876,53.5865403,10.4027657
"166","Kuressaare",8,879,58.2527693,22.4849207
"167","Kyi  v",29,881,46.4881105,30.7411787083624
"168","Lʹviv",20,889,49.841952,24.0315921
"169","Lage",13,901,51.9914084,8.7919583
"170","Lagrasse",38,903,43.0904411,2.6207564
"171","Lanham",6,910,38.965365,-76.8417926542416
"172","Las Vegas",17,916,36.1672559,-115.148516
"173","Lausanne",65,922,46.5218269,6.6327025
"174","Le Mans",7,926,48.0073849,0.1967849
"175","Leikanger",8,936,62.2469029,5.7821023
"176","Leipzig",66,937,51.3406321,12.3747329
"177","Lewiston",10,952,46.4195913,-117.0216144
"178","Liberec",6,954,50.7702648,15.0583947
"179","Líbeznice",13,956,50.1921305,14.4938986
"180","Lincoln",15,961,40.8088861,-96.7077751
"181","Lisse",6,969,52.2540183,4.54192802967581
"182","Ljungby",6,974,56.85,13.933333
"183","Locarno",13,977,46.1695112,8.7954217
"184","Łódź",17,980,51.7728066,19.4784949584914
"185","Los Angeles",12,986,34.0536909,-118.242766
"186","Lublin",14,990,51.2181945,22.5546775621452
"187","Lugano",12,997,46.0050102,8.9520281
"188","Lund",60,1001,55.7029296,13.1929449
"189","Lyon",6,1007,45.7578137,4.8320114
"190","Lysekil",5,1009,58.3965726,11.4196339
"191","Macerata",10,1012,43.15297805,13.150882217502
"192","Madison",5,1013,43.074761,-89.3837613
"193","Mainz",7,1017,50.0012314,8.2762513
"194","Málaga",5,1018,36.7213028,-4.4216366
"195","Malmö",44,1019,55.6052931,13.0001566
"196","Manchester",15,1021,53.4794892,-2.2451148
"197","Maribor",43,1033,46.5576439,15.6455854
"198","Marseille",15,1042,43.2961743,5.3699525
"199","Martorell",5,1044,41.4769177,1.9283971
"200","Melbourne",19,1054,-37.8142176,144.9631608
"201","Melhus",6,1055,63.18143325,10.308134487484
"202","Mem Martins",26,1057,38.793577,-9.34399
"203","Messen",62,1065,47.0904081,7.4473453
"204","Meudon",11,1069,48.8126688,2.2385432
"205","México",53,1071,23.6585116,-102.0077097
"206","México D F",6,1072,19.3521712,-99.33108
"207","Miercurea Ciuc",8,1077,46.3614042,25.8026675
"208","Mineola",10,1080,40.7492678,-73.6406845
"209","Minneapolis",12,1081,44.9772995,-93.2654692
"210","Minsk",49,1082,53.9024716,27.5618225
"211","Mitterfels",5,1085,48.9726499,12.6772388
"212","Monaco",27,1090,43.73844905,7.42422409253295
"213","Mont Saint Aignan",5,1094,49.4679,1.0813
"214","Montblanc",7,1095,43.3958648,3.3672892
"215","Montpellier",16,1100,43.6112422,3.8767337
"216","Montréal",5,1101,45.5031824,-73.5698065
"217","Montreuil",12,1102,50.4638918,1.7631125
"218","Moskva",5,1111,55.7504461,37.6174943
"219","Mühltal",51,1115,49.80948575,8.69681878964958
"220","München",51,1119,48.1371079,11.5753822
"221","Nacogdoches",5,1129,31.5970503,-94.5927451
"222","Nagykanizsa",7,1133,46.4548261,16.9923923
"223","Nan jing",35,1136,32.0615652,118.7915079
"224","Nancy",8,1141,48.6937223,6.1834097
"225","Nantes",18,1143,47.2186371,-1.5541362
"226","Napoli",17,1144,40.8358846,14.2487679
"227","Neckarsteinach",26,1150,49.4082418,8.8364591
"228","New Delhi",14,1164,28.6138954,77.2090057
"229","New Milford",6,1166,42.1798043,-89.0566993186938
"230","New York City",9,1169,40.7127281,-74.0060152
"231","Newcastle upon Tyne",7,1170,54.9738474,-1.6131572
"232","Nice",7,1173,43.7009358,7.2683912
"233","Nieuwegein",6,1178,52.0298704,5.09293337891924
"234","Nijmegen",5,1181,51.84257485,5.83896062874823
"235","Nîmes",41,1182,43.8374249,4.3600687
"236","Norderstedt",17,1191,53.7089898,9.9891914
"237","Novosibirsk",5,1211,55.0282171,82.9234509
"238","Nürnberg",18,1214,49.453872,11.077298
"239","Odense",9,1227,55.3997225,10.3852104
"240","Olomouc",41,1234,49.5940567,17.251143
"241","Olsztyn",17,1235,53.7767239,20.4777805281832
"242","Opole",13,1238,50.6787929,17.9298844360335
"243","Ôr Yehûdā",18,1239,32.0309712,34.8523936
"244","Oradea",6,1241,47.0549163,21.9285231
"245","Örebro",6,1244,59.2747287,15.2151181
"246","Orlando",7,1248,28.5421109,-81.3790304
"247","Ostrava",36,1257,49.8349139,18.2820084
"248","Ourense",8,1269,42.1968459,-7.6114105
"249","Oxford",32,1272,51.7520131,-1.2578499
"250","P aju",5,1274,37.7598955,126.7801502
"251","Pa ju si",13,1276,43.1250671,141.2105316
"252","Palermo",48,1280,38.1112268,13.3524434
"253","Palma de Mallorca",12,1282,39.5695818,2.6500745
"254","Pamplona",9,1283,42.8184538,-1.6442556
"255","Parma",43,1288,44.8013678,10.3280833
"256","Pasian di Prato",5,1290,46.0594922,13.1681381268041
"257","Pécs",40,1293,46.0765883,18.2280397
"258","Péronnas",11,1297,46.16930995,5.22142155450897
"259","Philadelphia",6,1303,39.9527237,-75.1635262
"260","Pisa",9,1308,43.7159395,10.4018624
"261","Pistoia",6,1309,43.9740957,10.868708114044
"262","Piteşti",19,1310,44.8572343,24.8719422
"263","Pleven",18,1314,43.409022,24.6180123
"264","Plovdiv",75,1316,42.1418541,24.7499297
"265","Podgorica",28,1318,42.4415238,19.2621081
"266","Pordenone",18,1326,45.9562503,12.6597197
"267","Porto",41,1332,41.1494512,-8.6107884
"268","Porto Alegre",11,1334,-30.0324999,-51.2303767
"269","Porvoo",14,1337,60.3953913,25.6604862
"270","Pozuelo de Alarcón",6,1345,40.4346528,-3.814834
"271","Pretoria",8,1352,-25.7459277,28.1879101
"272","Princeton",7,1354,40.34833555,-74.6684230570877
"273","Prishtinë",6,1356,42.6638771,21.1640849
"274","Providence",11,1357,41.8239891,-71.4128343
"275","Radovljica",7,1376,46.343509,14.1720227
"276","Rāmat Gan",10,1380,32.0686867,34.8246812
"277","Rastatt",6,1382,48.8574209,8.2088088
"278","Regensburg",6,1386,49.0195333,12.0974869
"279","Reinbek bei Hamburg",7,1391,53.5017808,10.2509768
"280","Reykjavík",41,1398,64.145981,-21.9422367
"281","Rheda Wiedenbrück",5,1400,51.8428202,8.2985615
"282","Richmond",16,1403,37.5385087,-77.43428
"283","Rijeka",7,1410,45.3271752,14.4412309
"284","Rijen",11,1411,51.5900496,4.9184482
"285","Rijswijk",30,1412,52.03739335,4.32250283752741
"286","Riverdale on Hudson",5,1423,40.90373855,-73.9111701298596
"287","Rochester",15,1428,43.157285,-77.615214
"288","Rødovre",10,1431,55.6812495,12.4547294
"289","Roskilde",24,1435,55.6433478,12.0819247
"290","Rostov na Donu",7,1439,47.2610441,39.7249085651877
"291","Rotterdam",15,1441,51.9244424,4.47775
"292","Rovereto",61,1442,45.886548,11.0452369
"293","Ruse",18,1450,43.8480413,25.9542057
"294","Ružomberok",6,1454,49.0815718,19.3034168
"295","Rzeszów",5,1455,50.013064,22.0161434572943
"296","s Graveland",12,1461,52.2383167,5.1217171
"297","S l",10,1465,35.57525385,-78.7423734349937
"298","Saarbrücken",9,1467,49.2471081,6.99749542650104
"299","Saint Clément de Rivière",9,1473,43.6843999,3.8466598
"300","Saint Pierre la Vieille",9,1481,48.9188612,-0.5754629
"301","Salamanca",8,1491,40.9651572,-5.6640182
"302","Salvador",11,1494,13.8000382,-88.9140683
"303","Samara",5,1496,53.198627,50.113987
"304","San Francisco",12,1500,37.7790262,-122.419906
"305","Santa Marta de Tormes",12,1514,40.9492102,-5.6306215
"306","Santa Perpetua de Mogoda",7,1515,41.5328106,2.1823309
"307","Sarajevo",21,1528,43.8519774,18.3866868
"308","Sawtry",24,1534,52.4380671,-0.2820551
"309","Schweinfurt",5,1551,50.0499945,10.233302
"310","Seattle",36,1554,47.6038321,-122.3300624
"311","Senica",5,1561,48.6787557,17.3661529
"312","Seo ul",56,1565,53.9326474,27.6093828
"313","Sevilla",25,1570,37.3886303,-5.9953403
"314","Shen yang",5,1576,41.6749893,123.458674
"315","Shi jia zhuang",15,1579,38.0429742,114.5088385
"316","Sibiu",6,1585,45.7973912,24.1519202
"317","Sintra",7,1592,38.8355605,-9.35222524574645
"318","Şişli",8,1594,41.0612733,28.9850203
"319","Skivarp",6,1595,55.4246303,13.5697188
"320","Smederevo",7,1605,44.6651048,20.9271115
"321","Soest",13,1609,51.5725501,8.1061259
"322","Soesterberg",11,1611,52.1208994,5.2836057
"323","Sremski Karlovci",57,1631,45.2030463,19.9338336
"324","Stavanger",8,1644,59.1020129,5.7126113572757
"325","Strasbourg",17,1657,48.584614,7.7507127
"326","Stuttgart",30,1665,48.7784485,9.1800132
"327","Suwa",7,1674,36.03209,138.114118
"328","Szeged",22,1683,46.2546312,20.1486016
"329","T bilisi",71,1687,41.707901,44.8029548
"330","Taksim",21,1705,41.0380506,28.985549
"331","Tarragona",8,1716,41.1172364,1.2546057
"332","Tartu",21,1717,58.3801207,26.72245
"333","Tbilisi",6,1720,41.6934591,44.8014495
"334","Thessalonikē",13,1740,40.6403167,22.9352716
"335","Tholey",6,1742,49.481406,7.0323463
"336","Tielt",9,1746,50.99996475,3.34142632846712
"337","Tilburg",5,1749,51.58561875,5.06606190864831
"338","Timişoara",12,1750,45.7538355,21.2257474
"339","Tiranë",90,1753,41.3281482,19.8184435
"340","Todmorden",9,1757,53.7137251,-2.097753
"341","Toronto",13,1771,43.6534817,-79.3839347
"342","Toruń",12,1775,53.0145361,18.5965831446516
"343","Toulouse",37,1777,43.6044622,1.4442469
"344","Tours",5,1778,47.3900474,0.6889268
"345","Trento",18,1781,46.1030443,11.1298403316951
"346","Tres Cantos",26,1783,40.6065826,-3.7065333
"347","Trieste",5,1785,45.6496485,13.7772781
"348","Trnava",9,1786,48.3767652,17.5858175
"349","Tržič",45,1791,46.3636679,14.3095397
"350","Tukumā",9,1795,56.97174925,22.9974633075214
"351","Turku",15,1800,60.4517531,22.2670522
"352","Udine",7,1805,46.0634632,13.2358377
"353","Uithoorn",56,1808,52.24400285,4.82816050635951
"354","Ulaanbaatar",7,1810,47.9184676,106.9177016
"355","Umeå",7,1812,63.8256568,20.2630745
"356","Ursensollen",6,1819,49.4008869,11.759185
"357","Uviéu",7,1826,43.3604218,-5.8450534
"358","V Ljubljani",17,1831,46.04898975,14.5039566928958
"359","V Olomouci",6,1832,49.7432027,16.8247322
"360","Vachendorf",15,1837,47.8430597,12.6047113
"361","Valencia",46,1842,39.4697065,-0.3763353
"362","Valladolid",9,1846,41.6521328,-4.728562
"363","Vancouver",6,1848,49.2608724,-123.113952
"364","Varna",10,1854,43.2073873,27.9166653
"365","Västra Frölunda",6,1856,57.6569983,11.911899
"366","Vejle",5,1861,55.7000057,9.5333238
"367","Veliko Tărnovo",12,1862,43.2164885,25.6114093003958
"368","Velilla de San Antonio",6,1863,40.367166,-3.4874435
"369","Venezia",52,1866,45.4371908,12.3345898
"370","Verden Aller",7,1868,52.922341,9.228153
"371","Verona",7,1869,45.4384958,10.9924122
"372","Versailles",7,1870,48.8035403,2.1266886
"373","Vevey",13,1873,46.4602978,6.8418655
"374","Vianen",11,1874,51.9890128,5.0937164
"375","Vigo",21,1881,42.2376602,-8.7247205
"376","Villers Cotterêts",5,1890,49.2549479,3.0909275
"377","Viterbo",7,1896,42.49368885,11.9450678298077
"378","Vršac",12,1904,45.1211263,21.2960485
"379","Weert",13,1926,51.23558295,5.70507971164685
"380","Weißenhorn",7,1934,48.3044877,10.1601492
"381","Wien",24,1943,48.2083537,16.3725042
"382","Wildflecken",6,1949,50.3768644,9.9084296
"383","Wołowiec",47,1957,49.2075694,19.7631281
"384","Woodstock",14,1960,42.0410578,-74.1182492
"385","Würzburg",5,1966,49.79245,9.932966
"386","Xin bei",6,1970,43.921909,126.345596696356
"387","Xixón",9,1972,43.5449422,-5.66275
"388","Yerushalayim",48,1977,31.7788242,35.2257626
"389","Ylöjärvi",6,1978,61.5499614,23.5969495
"390","Zaprešić",39,1987,45.8572728,15.8050436
"391","Zaragoza",16,1989,41.6521342,-0.8809428
"392","Zblov",15,1991,50.4120767,16.0719830591005
"393","Zeist",10,1994,52.08653175,5.24900795767188
"394","Zemun",9,1995,42.8163051,22.5649632
"395","Zlín",37,2002,49.226766,17.6667415
"396","Zoetermeer",5,2003,52.06228915,4.48775453697065
"397","Zrenjanin",5,2004,45.3802683,20.3907614
"398","Zürich",88,2007,47.3744489,8.5410422
